score,priority,urgencia,horas_restantes,organismo,region,nombre,monto,cliente_previo,organismo_prioritario,oportunidad_estructural,establecimiento_red,matched_high,matched_medium,codigo,fecha_publicacion,fecha_cierre,url
25,ALTA,NORMAL,,I MUNICIPALIDAD DE CARAHUE,Región de la Araucanía,SERVICIOS PARA ACTIVIDAD DÍA DEL CAMPESINO 2026,19000000.0,False,True,,,DIA,,3516-44-LE26,2026-07-30T09:48:12.247,2026-08-10T15:02:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=3516-44-LE26
25,MEDIA,NORMAL,,SERVICIO LOCAL DE EDUCACION PUBLICA DE LLANQUIHUE,Región de los Lagos,SERVICIO DE CAPACITACIÓN PG02,,False,True,,,,servicio local de educación · capacitación,1126922-29-LE26,2026-07-31T12:51:39.66,2026-08-10T15:01:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1126922-29-LE26
25,MEDIA,NORMAL,,I MUNICIPALIDAD DE HUALQUI,Región del Biobío,PROGRAMA CAPACITACION CURSOS Y DIPLOMADOS 2026,20881630.0,False,True,,,,capacitación · formación,4457-63-LE26,2026-07-29T15:38:43.03,2026-08-07T09:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=4457-63-LE26
25,ALTA,NORMAL,,SUBSECRETARIA DEL MINISTERIO DE EDUCACION PUBLICA,Región Metropolitana de Santiago,"SERVICIO DE CICLO DE TALLERES, ACOMPAÑAMIENTO Y SISTEMATIZACIÓN ESTRATEGIA LEC PARA APRENDER – EDUCACIÓN PARVULARIA 2026",1600000.0,False,True,,,acompañamiento técnico,educación parvularia,948-21-L126,2026-07-31T16:43:44.483,2026-08-06T18:00:00,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=948-21-L126
25,MEDIA,NORMAL,,,,KG 22 P02 FAEP MEMO N° 188 CONVENIO VIDRIOS Y ESPEJOS PARA LOS E.E.,,False,False,FAEP municipios pre-traspaso a SLEP,,,FAEP,1084156-652-SE26,,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1084156-652-SE26
25,MEDIA,NORMAL,,,,AI - SC 2172 Multi RBD Servicio de diagnostico y diseño segun detalle FAEP 2211999,,False,False,FAEP municipios pre-traspaso a SLEP,,,FAEP,1432083-1182-SE26,,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1432083-1182-SE26
25,MEDIA,NORMAL,,,,"AN, RBD 6774-6777-6764, S.C 1359-1515-1837, FAEP-S.GRAL, MOBILIARIOS VARIOS, 2204999, ESCUELA EL LAUREL, FEDOR DOSTOIEVSKI Y ESPAÑA.",,False,False,FAEP municipios pre-traspaso a SLEP,,,FAEP,1432083-1839-AG26,,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1432083-1839-AG26
25,MEDIA,NORMAL,,,,"AN, RBD 6755-6787, S.C. 3151-1747, SUB.GRAL-FAEP, MOBILIARIO, 2204999, LICEO INDUSTRIAL-CEIA LUIS MOLL BRIONES",,False,False,FAEP municipios pre-traspaso a SLEP,,,FAEP,1432083-1857-AG26,,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1432083-1857-AG26
25,MEDIA,NORMAL,,,,"ADQUISICON DE IMPRESORA PARA ESCUELA CLAUDIO ARRAU , FONDOS FAEP 2024 ",,False,False,FAEP municipios pre-traspaso a SLEP,,,FAEP,2306-505-AG26,,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2306-505-AG26
25,MEDIA,NORMAL,,,,"ADQUISICION DE CORTINAS ROLLER BLACK OUT PARA ESCUELA PAUL HARRIS, FONDOS FAEP 2024; a compra ágil: 2306-564-COT26.",,False,False,FAEP municipios pre-traspaso a SLEP,,,FAEP,2306-623-AG26,,,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2306-623-AG26
